"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 15 14:42:34 GMT 2023","Fri Dec 15 14:42:34 GMT 2023","24","","","","","","Validando dados do tipo STRING",""
"passed","Fri Dec 15 14:42:34 GMT 2023","Fri Dec 15 14:42:34 GMT 2023","25","","","","","","Validando dados do tipo NUMBERS",""
"passed","Fri Dec 15 14:42:34 GMT 2023","Fri Dec 15 14:42:34 GMT 2023","27","","","","","","Validando tipos de dados",""
"skipped","Fri Dec 15 14:42:41 GMT 2023","Fri Dec 15 14:42:41 GMT 2023","0","Login teste","Logout","","","","teste de it dentro do describe",""
"passed","Fri Dec 15 14:42:38 GMT 2023","Fri Dec 15 14:42:39 GMT 2023","248","","Cypress basic","","","","Deve encontrar e interagir com um elemento",""
"passed","Fri Dec 15 14:42:34 GMT 2023","Fri Dec 15 14:42:34 GMT 2023","24","","","","","","Validando estrutura de dados do tipo arrays",""
"passed","Fri Dec 15 14:42:33 GMT 2023","Fri Dec 15 14:42:34 GMT 2023","52","","","","","","Equality",""
"passed","Fri Dec 15 14:42:34 GMT 2023","Fri Dec 15 14:42:34 GMT 2023","34","","","","","","Validando Equalidade de objetos",""
"passed","Fri Dec 15 14:42:38 GMT 2023","Fri Dec 15 14:42:38 GMT 2023","206","","Cypress basic","","","","Should and visit the title",""
"passed","Fri Dec 15 14:42:41 GMT 2023","Fri Dec 15 14:42:41 GMT 2023","70","","template spec","","","","A external test",""
"passed","Fri Dec 15 14:42:45 GMT 2023","Fri Dec 15 14:42:47 GMT 2023","2102","","Work with basic elements","","","","TextFields",""
"passed","Fri Dec 15 14:42:41 GMT 2023","Fri Dec 15 14:42:41 GMT 2023","18","","Login teste","","","","Login com sucesso",""
"passed","Fri Dec 15 14:42:34 GMT 2023","Fri Dec 15 14:42:34 GMT 2023","22","","","","","","Validando retornos de igualdade ou booleanos",""
